계열,관련 학과,일반 선택,진로 선택,멘토의 한 마디
언어·문학,"국어국문학과, 동양어학과, 서양어학과, 영어영문학과, 통번역학과","생활과 윤리, 윤리와 사상, 세계지리, 동아시아사, 세계사, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 철학, 논술 등","심화 국어, 고전 읽기, 영어권 문화, 진로 영어, 영미 문학 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 문학과 어학 관련 전공은 해당 언어에 대한 이해와 습득뿐만 아니라, 해당 문화에 대한 폭넓은 정보와 지식이 필요해요.

- 언어학 전공을 위해서는 꼼꼼하고 정확함이 요구되며, 문학 전공은 자유롭고 창의적인 사고도 필요해요.

- 어문학과는 현재 해당 언어에 능숙한지보다 해당 언어권의 문학, 언어, 문화 등 그 나라 전반에 관심이 있으면 충분해요.

- 각 언어권 국가의 잠재력을 생각해보고 그 분야에서 자신의 진로를 설계해 본다면 보다 즐겁고 의미 있게 준비할 수 있을 거예요."
인문과학,"고고학과, 문헌정보학과, 문화재보존학과, 문화콘텐츠학과, 사학과, 심리학과, 인류학과, 철학과","생활과 윤리, 윤리와 사상, 한국지리, 세계지리, 동아시아사, 세계사, 정치와 법, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 논술, 심리학 등","고전 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 인간과 세계에 대한 관심, 다양한 문화에 대한 깊이 있는 식견 및 인문학 전반에 대한 이해가 필요해요.

- 기본적 지식들을 바탕으로 그 사실들을 어떻게 바라볼 것인지 관점에 대해 고민하고 탐구하는 것이 중요해요.

- 관련 학문 서적들을 꾸준히 읽고 토론하며 자신의 생각을 정리해보는 습관을 길러 보세요.

- 심리학 관련 전공은 과학 실험 방법론에 대한 이해가 필요하며, 인문학적 소양뿐만 아니라 사회과학, 자연과학 전반에 대한 관심도 필요해요."
상경,"경영학과, 경제학과, 금융보험학과, 무역·유통학과, 세무·회계학과, 호텔·관광경영학과","미적분, 확률과 통계, 생활과 윤리, 한국지리, 세계지리, 세계사, 동아시아사, 경제, 정치와 법, 사회·문화, 제2외국어Ⅰ, 논리학, 심리학 등","경제 수학, 영어권 문화, 진로 영어, 사회문제 탐구, 제2외국어Ⅱ 등","- 수리적인 분석력, 판단력 및 대량의 정보를 빠르게 습득·활용하는 능력이 중요하기에 학교에서 배우는 수학의 기초를 탄탄하게 해 두는 것이 좋아요. 

- 다른 분야와의 융합을 통해 새로운 응용 학문의 개척이 얼마든지 가능해요.

- 창업, 학계, 금융계, 기업계, 공공기관, 법조계, 언론 및 마케팅 등 다양한 분야로의 진로가 열려 있어요. "
융복합,"인공지능학과, 빅데이터학과, 미래자동차(모빌리티)학과, 정보보안학과, 융합학과","미적분, 확률과 통계, 정보, 논리학, 생활과 윤리, 물리학Ⅰ 등","기하, 인공지능 수학, 수학 과제 탐구, 인공지능 기초 등","- 융/복합 계열은 특정 영역의 집중된 지식보다 폭넓고 다양한 지식이 필요해요.

- 4차 산업혁명 시대에 발맞춰 인공지능(AI)을 여러 학문과 결합하여 새로운 학과가 만들어지므로 학과의 형태가 다양해요.

- 최근 융복합계열 학과에서는 졸업논문 대신 전공지식을 바탕으로 산업체가 필요로 하는 과제를 학생들이 스스로 기획·설계·제작(캡스톤디자인)하는 과정을 운영하는 대학이 증가하고 있어 고등학교 과정에서 문제해결력과 창의력 신장이 더욱 중요해지고 있어요."

학과,학과설명,이런 학생에게 권한다,유사학과,개설대학(서울),개설대학(수도권),개설대학(지방),졸업 후 진로,국어,수학 ,영어,사회,과학,기타,,,,,,,,,,,,,
국어국문학과,"우리말과 우리 문학을 연구하여 민족 문화를 창조적으로 계승하고 발전시키는 것을 목적으로 한다. 국어의 구조와 역사를 밝히고, 시대별 문학을 그 시대정신과 사회 배경 속에서 이해하고 그 가치를 탐구하는 인재 양성을 목적으로 하는 학과이다.","* 우리말의 유래·구조·원리, 문학 작품 읽기, 창작에 관심이 많은 학생
* 주관적인 창작 능력과 객관적인 분석 능력이 균형적으로 발달된 학생
* 언어 감각과 논리적 사고력, 분석력, 비평적으로 읽고 분석하는 능력을 갖춘 학생","미디어문학과, 한국어문학과, 국어국문·창작학과, 글로벌한국학전공 등","건국대, 경기대, 경희대, 고려대, 광운대, 국민대, 덕성여대, 동국대, 동덕여대, 서강대, 서경대, 서울대, 서울시립대, 서울여대, 성균관대, 성신여대, 세종대, 숭실대, 연세대, 이화여대, 중앙대, 한성대, 한양대, 홍익대 등","가톨릭대, 강남대, 단국대, 성결대, 아주대, 안양대, 한신대, 인천대 등","강릉원주대, 강원대, 경상대, 경남대, 경북대, 군산대, 목포대, 부산대, 영남대, 울산대, 전남대, 전북대, 제주대, 조선대, 창원대, 충남대, 충북대 등","학계·교육계(대학교수, 교사, 전문기관 연구원 등)
언론계(신문·방송기자, 방송앵커, PD 등)
출판·문화계(작가, 성우, 출판사경영, 시인, 소설가, 평론가, 극작가, 번역가, 연극연출, 카피라이터 등)
기타(공공기관 공무원, 대기업 등 일반기업체 등)","화법과 작문, 독서, 언어와 매체, 문학, 심화 국어, 고전 읽기","수학Ⅰ, 수학Ⅱ","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","한국지리, 사회·문화, 윤리와 사상, 고전과 윤리",없음,"한문Ⅰ, 한문Ⅱ, 철학, 종교학, 논술",,,,,,,,,,,,,
동양어학과,"동양의 각 언어에 대한 체계적인 학습 훈련과 언어, 문화 및 문학에 관한 깊이 있는 이해를 통해, 해당 언어권 국가와 관련된 사회 여러 분야에서 요구되는 새로운 인재의 양성을 목표로 하는 학과이다. ","* 동양 각 언어권 국가의 어학, 문학, 문화에 관심이 있고 심화된 지식과 역량을 갖고자 하는 학생
* 새로운 세계를 탐구해 나가려는 호기심을 지닌 학생
* 문학적 감수성과 상상력, 언어의 과학적 구조에 관심이 있는 학생","일본어과, 일본어문학과, 일본어일본학과, 일본어통번역학과, 일어학과, 중국어학과, 중국어문학과, 중국어문화학과, 중국통상문화학과, 미얀마어과, 베트남어과, 말레이·인도네시아어과, 인도어과, 태국어과 등","건국대, 고려대, 국민대, 덕성여대, 동국대, 명지대, 서울대, 서울여대, 성균관대, 성신여대, 세종대, 숭실대, 연세대, 이화여대, 한국외대, 한양대 등","가천대, 가톨릭대, 경기대, 단국대, 성결대, 수원대, 인천대, 인하대, 협성대 등","강릉원주대, 강원대, 경북대, 공주대, 군산대, 목포대, 부산대, 부산외대, 순천향대, 안동대, 영남대, 원광대, 전남대, 전북대, 제주대, 청운대, 충남대, 충북대 등","교육계(대학교수, 중등교사, 관련 어학 학원 강사 등)
방송계(신문/방송 기자, 프로듀서, 작가 등)
광고/홍보/출판계(번역가, 동시통역사, 출판물편집자, 카피라이터, 광고기획자 등)","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","동아시아사, 세계사, 세계지리, 사회·문화, 윤리와 사상, 고전과 윤리",없음,"제2외국어Ⅰ, 제2외국어Ⅱ, 한문Ⅰ, 한문Ⅱ, 철학",,,,,,,,,,,,,
서양어학과,"서양의 각 언어에 대한 체계적인 학습 훈련과 언어, 문화 및 문학에 관한 깊이 있는 이해를 통해, 해당 언어권 국가와 관련된 사회 여러 분야에서 요구되는 새로운 인재의 양성을 목표로 하는 학과이다.","* 서양 각 언어권 국가의 어학, 문학, 문화에 관심이 있고 심화된 지식과 역량을 갖고자 하는 학생
* 새로운 세계를 탐구해 나가려는 호기심을 지닌 학생
* 문학적 감수성과 상상력, 언어의 과학적 구조에 관심이 있는 학생","러시아어과, 러시아어학과, 노어과, 러시아언어문화학과, 독일언어문화학과, 독일어문학과, 독어독문화학전공, 독일문화학과, 불어과, 유럽문화학부(프랑스어문학전공), 유럽학부(프랑스언어문화전공), 스페인·중남미어문학과, 스페인어학과, 중남미학부(스페인어전공), 유럽문화·관광학과, 유럽문화학부, 유럽학부(EU지역통상전공) 등","경희대, 고려대, 덕성여대, 서강대, 서울대, 서울여대, 성균관대, 성신여대, 숙명여대, 숭실대, 연세대, 이화여대, 중앙대, 한국외대, 한양대, 홍익대 등","경기대, 수원대, 아주대, 안양대, 인천대, 인하대 등","강원대, 경북대, 계명대, 공주대, 목포대, 부산대, 부산외대, 안동대, 원광대전남대, 전북대, 조선대, 창원대, 충남대, 충북대 등","교육계(중등교사, 관련 어학 학원 강사 등)
관광계(관광통역안내원, 여행사무원 등)
기업체(광고·홍보 대행사, 외국인 회사, 해외영업원, 마케팅사무원, 무역사무원 등)
광고·홍보·출판계(작가, 번역가, 통역가, 출판물편집자 등)","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ, 영어권 문화, 영미 문학 읽기","세계사, 세계지리, 사회·문화, 윤리와 사상, 고전과 윤리",없음,"제2외국어Ⅰ, 제2외국어Ⅱ, 철학, 논술",,,,,,,,,,,,,
영어영문학과,"영어학 및 영미문학에 대한 폭넓은 이해와 국제어인 영어로 자유롭게 의사소통할 수 있는 능력의 함양을 목표로 한다. 언어로서 영어가 지닌 구조와 특성, 영어권 문학의 변천사와 작품들에 대한 이해 과정을 바탕으로 비판적, 창의적 사고력을 지닌 글로벌 인재 양성을 목적으로 하는 학과이다.","* 영어와 외국어에 관심을 가지고, 외국의 문화와 역사, 사회와 경제 등에 흥미를 느끼는 학생
* 언어를 다양한 각도에서 공부하는 데에 흥미가 있는 학생
* 문학을 좋아하며 자신의 의견 표현, 텍스트 분석과 비평에 흥미가 있는 학생","영미어문학부, 영미언어문화학과, 영어통상통역학과, 글로벌커뮤니케이션영어전공 등","건국대, 경희대, 고려대, 광운대, 국민대, 덕성여대, 동국대, 명지대, 서강대, 서울과학기술대, 서울대, 서울시립대, 서울여대, 성균관대, 성신여대, 세종대, 숙명여대, 숭실대, 연세대, 이화여대, 중앙대, 한성대, 한국외대, 한양대, 홍익대 등","가톨릭대, 경기대, 단국대, 대진대, 성결대, 수원대, 아주대, 안양대, 인천대, 인하대, 한신대, 협성대 등","강릉원주대, 강원대, 경북대, 공주대, 군산대, 대전대, 목포대, 부산대, 울산대, 전남대, 전북대, 제주대, 창원대, 충남대, 충북대, 한밭대 등","교육계(중등교사, 관련 어학 학원 강사 등)
관광계(관광통역안내원, 여행사무원 등)
기업체(광고대행사, 홍보대행사, 외국인 회사, 해외영업원, 마케팅사무원, 무역사무원 등)
광고·홍보·출판계(작가, 번역가, 통역가, 출판물편집자 등)","화법과 작문, 독서, 언어와 매체, 문학, 고전 읽기","수학Ⅰ, 수학Ⅱ","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ, 영어권 문화, 진로 영어, 영미 문학 읽기","세계사, 세계지리, 윤리와 사상, 사회·문화, 고전과 윤리",없음,"제2외국어Ⅰ, 제2외국어Ⅱ, 철학",,,,,,,,,,,,,
통번역학과,통역과 번역에 대한 이해와 탐구에서부터 본격적인 통역에 필요한 소양 등과 관련한 교과목들을 배운다. 세계 각 지역의 언어 관련 기본 지식과 문화적 특징에 대한 이해를 바탕으로 해외 지역 연구에 필요한 언어 능력을 갖춘 인재 양성을 목적으로 하는 학과이다.,"* 평소 번역이나 통역 활동에 대한 관심이 높은 학생
* 언어와 관련한 사회·문화적 현상의 탐구 및 이해에 관심을 지닌 학생
* 해당 언어의 현상 및 표현과 이해 활동에 관심과 흥미가 높은 학생","영어통번역학부, 영어통번역학전공, 응용영어통번역학과, 독일어통번역학과, 스페인어통번역학과, 중국어통번역학과, 중한통번역학과, 러시아어통번역학과, 아랍어통번역학과, 태국어통번역학과, 한중통번역전공 등","경희대, 동국대 등",한국외대(글로벌) 등,"제주국제대, 한림대 등","교육계(대학교수, 중등교사, 관련 어학 학원 강사 등)
관광계(관광통역안내원, 여행사무원 등)
기업체(기업의 해외 주재원, 외국인 회사, 무역사무원 등)
광고·홍보·출판계(번역가, 통역가, 신문 및 방송 해외특파원 등)
정부 및 공공기관(각국 대사관, 출입국관리직, 국제기구 종사자 등)","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ, 영어권 문화, 진로 영어, 영미 문학 읽기","세계지리, 세계사, 동아시아사, 윤리와 사상, 사회·문화, 경제, 정치와 법",없음,"제2외국어Ⅰ, 제2외국어Ⅱ",,,,,,,,,,,,,
고고학과,"인류가 남겨 놓은 유적과 유물을 발굴하고 분석하여 과거의 문화를 복원하고 문화 변동의 과정을 규명하는 것을 목적으로 한다. 문화인류학이나 역사학과 상호 보완 관계에 있다. 역사와 문화를 연구하여 인류사회가 지나왔던 사회, 경제, 문화 등을 이해할 수 있는 인재 양성을 목적으로 하는 학과이다.","* 인류의 유물, 유적에 관심이 많고, 사물에 대한 관찰력이 뛰어난 학생
* 인간에 대한 깊은 호기심을 가지며, 인류와 사회의 발달 과정에 대해 흥미를 느끼는 학생
* 문화 변동 등에 대한 상상력이 풍부하고, 논리력을 갖춘 학생","고고미술사학과, 고고인류학과, 문화인류고고학과, 역사고고학과, 융합고고학과 등",서울대 등,없음,"경북대, 목포대, 부산대, 전남대, 전북대, 충남대 등","연구소(인문/사회과학 관련 국가 alc 민간 연구소, 문화재 관련 연구소 등)
정부 및 공공기관(중앙정부 및 지방자치단체 문서실, 국공립 및 국립대학 도서관, 박물관, 지역 문화원 학예사 등 전문직 진출)
기업체(출판사, 초·중·고 및 대학 도서관, 기업 문헌 자료실, 기업체 사무직 등)
언론사(신문사, 잡지사, 방송국 등)","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ, 영어권 문화","한국지리, 세계지리, 세계사, 동아시아사, 사회·문화, 윤리와 사상",없음,"제2외국어Ⅰ, 제2외국어Ⅱ, 한문Ⅰ, 한문Ⅱ, 철학, 종교학",,,,,,,,,,,,,
문헌정보학과,"다양한 정보들 중에서 가치 있는 정보를 선별, 보존하고 제공방법, 기술을 연구한다. 정보를 이용자들이 편리하게 검색하고 열람할 수 있도록 하는 체계적 방법 구축을 목표로, 빅데이터의 시대적 환경 속에서 정보 관리 능력을 갖춘 전문 인재 양성을 목적으로 하는 학과이다.","* 독서를 습관화하고 정보통신기술을 이해하려는 자세를 지닌 학생
* 도서관 활동에 관심을 가지고 일상생활 속에서 정보검색의 불편한 점 등에 대해 고민하는 학생
* 다양한 방면에 호기심이 많고 적극적 의사소통능력과 의견조율능력을 지닌 학생","문헌정보학전공, 도서관학과, 문헌정보교육과, 점자문헌정보학과 등","덕성여대, 동덕여대, 명지대, 상명대, 서울여대, 성균관대, 숙명여대, 연세대, 이화여대, 중앙대, 한성대 등","강남대, 경기대, 대진대, 인천대 등","건국대(글로컬), 경성대, 경북대, 광주대, 동의대, 부산대, 신라대, 전남대, 전북대, 전주대, 충남대, 한남대 등","기업체(출판사, 기업 문헌 자료실, 정보 기술 업체 등)
교육계(초/중/고 대학 및 대학 도서관, 사서교사, 독서지도사, 교구 및 교재개발사 등)
정부 및 공공기관(중앙정부 및 지방자치단체 문서실, 국/공립 도서관 등)
기타(데이터베이스개발자, 웹컨텐츠 기획자, 정보검색사 등)","화법과 작문, 독서, 언어와 매체, 문학, 고전 읽기","수학Ⅰ, 수학Ⅱ, 확률과 통계, 인공지능 수학","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","사회·문화, 정치와 법, 윤리와 사상, 세계사, 고전과 윤리",없음,"제2외국어Ⅰ, 정보, 인공지능 기초",,,,,,,,,,,,,
